
2023/12/25 (10:05:50) | ===> btop++ v.1.2.13
2023/12/25 (10:05:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/25 (10:06:54) | ===> btop++ v.1.2.13
2023/12/25 (10:06:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/26 (17:20:54) | ===> btop++ v.1.2.13
2023/12/26 (17:20:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/26 (17:23:51) | ===> btop++ v.1.2.13
2023/12/26 (17:23:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/27 (14:53:00) | ===> btop++ v.1.2.13
2023/12/27 (14:53:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/28 (22:36:14) | ===> btop++ v.1.2.13
2023/12/28 (22:36:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/29 (16:49:08) | ===> btop++ v.1.2.13
2023/12/29 (16:49:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/08 (01:06:15) | ===> btop++ v.1.2.13
2024/01/08 (01:06:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
